HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457072.04609,2015-02-18.5437362,bb,1.70,13.716,7.959,0.004,2511.861,8.553
2457077.03169,2015-02-23.5292898,bb,1.70,13.728,8.008,0.004,2404.298,9.272
2457077.03309,2015-02-23.5306938,bb,1.74,13.694,7.944,0.004,2548.989,9.989
2457081.01960,2015-02-27.5172043,bb,1.74,13.718,7.984,0.004,2456.473,8.673
2457081.02106,2015-02-27.5186622,bb,1.69,13.726,7.999,0.004,2422.153,8.843
2457085.03077,2015-03-03.5283611,bb,2.00,13.683,7.985,0.004,2453.902,9.416
2457085.03218,2015-03-03.5297781,bb,2.06,13.695,8.002,0.004,2416.210,9.525
2457095.06607,2015-03-13.5636883,bb,1.70,13.670,7.938,0.004,2561.646,9.727
2457095.06763,2015-03-13.5652511,bb,1.78,13.678,7.955,0.004,2521.310,8.849
2457097.00931,2015-03-15.5069385,bb,1.68,13.723,8.013,0.004,2391.462,9.664
2457097.01084,2015-03-15.5084693,bb,1.66,13.712,7.994,0.004,2434.744,8.752
2457100.15855,2015-03-18.6566127,bb,1.63,13.694,7.970,0.004,2488.217,9.284
2457100.16015,2015-03-18.6582092,bb,1.73,13.734,8.076,0.006,2256.646,11.951
2457101.00964,2015-03-19.5077224,bb,1.67,13.714,7.968,0.004,2492.404,8.858
2457101.01118,2015-03-19.5092601,bb,1.64,13.696,7.931,0.004,2580.644,10.626
2457103.94272,2015-03-22.4408299,bb,1.61,13.698,7.981,0.004,2462.331,9.755
2457103.94433,2015-03-22.4424392,bb,1.66,13.679,7.941,0.004,2555.956,9.591
2457106.93756,2015-03-25.4357001,bb,1.66,13.683,7.988,0.004,2447.688,8.595
2457106.93918,2015-03-25.4373237,bb,1.66,13.693,8.004,0.004,2411.562,8.664
2457110.89663,2015-03-29.3948324,bb,1.64,13.676,7.942,0.004,2554.302,9.785
2457110.89821,2015-03-29.3963982,bb,1.77,13.693,7.970,0.004,2488.469,9.113
2457114.88715,2015-04-02.3853969,bb,1.77,13.660,7.975,0.004,2476.737,9.690
2457114.88867,2015-04-02.3869203,bb,1.78,13.691,8.025,0.005,2364.668,10.325
2457116.99346,2015-04-04.4917552,bb,1.63,13.686,7.949,0.004,2536.129,8.903
2457116.99503,2015-04-04.4933238,bb,1.70,13.709,7.990,0.004,2442.870,8.960
2457119.00327,2015-04-06.5016020,bb,1.70,13.697,8.002,0.004,2417.002,8.135
2457119.00483,2015-04-06.5031561,bb,1.76,13.688,7.975,0.004,2478.428,8.734
2457122.08744,2015-04-09.5858331,bb,1.71,13.679,7.935,0.003,2568.489,7.513
2457122.08905,2015-04-09.5874429,bb,1.69,13.678,7.935,0.003,2571.170,7.526
2457122.91836,2015-04-10.4167693,bb,1.71,13.705,7.986,0.004,2450.554,8.512
2457122.91998,2015-04-10.4183881,bb,1.67,13.706,7.992,0.004,2437.126,9.088
2457124.97621,2015-04-12.4746628,bb,1.76,13.687,7.924,0.003,2594.938,8.156
2457124.97778,2015-04-12.4762266,bb,1.68,13.702,7.958,0.003,2515.822,7.998
2457127.96022,2015-04-15.4587306,bb,1.65,13.706,7.985,0.004,2456.390,8.148
2457127.96177,2015-04-15.4602813,bb,1.67,13.697,7.953,0.004,2528.392,9.011
2457132.91681,2015-04-20.4154422,bb,1.79,13.697,7.959,0.004,2513.671,8.245
2457132.91843,2015-04-20.4170642,bb,1.67,13.676,7.920,0.004,2605.299,9.800
2457136.85020,2015-04-24.3489348,bb,1.74,13.549,7.968,0.005,2492.676,11.621
2457136.85176,2015-04-24.3504908,bb,1.70,13.568,7.996,0.005,2429.669,10.775
2457137.84710,2015-04-25.3458583,bb,1.82,13.658,7.933,0.004,2573.822,10.036
2457137.84870,2015-04-25.3474631,bb,1.68,13.662,7.916,0.004,2616.713,10.334
2457138.96839,2015-04-26.4671688,bb,1.67,13.704,7.938,0.004,2562.541,8.359
2457138.96996,2015-04-26.4687396,bb,1.65,13.704,7.939,0.003,2560.849,7.798
2457145.79189,2015-05-03.2908622,bb,1.68,13.679,8.027,0.004,2361.470,9.153
2457145.79346,2015-05-03.2924288,bb,1.63,13.674,8.001,0.005,2417.444,11.322
2457148.99189,2015-05-06.4909623,bb,1.69,13.699,7.984,0.004,2457.954,9.986
2457148.99340,2015-05-06.4924717,bb,1.67,13.675,7.942,0.004,2553.198,10.130
2457149.88969,2015-05-07.3887877,bb,1.80,13.584,7.960,0.006,2511.884,14.406
2457149.89124,2015-05-07.3903417,bb,1.73,13.561,7.978,0.004,2468.806,10.059
2457152.04107,2015-05-09.5402290,bb,1.86,13.239,7.860,0.005,2754.101,12.408
2457152.04272,2015-05-09.5418829,bb,1.80,13.121,7.855,0.008,2765.012,18.990
2457155.86586,2015-05-13.3651422,bb,1.59,13.568,7.978,0.004,2469.774,8.374
2457155.86814,2015-05-13.3674195,bb,1.74,13.172,7.860,0.005,2752.847,12.888
2457156.84361,2015-05-14.3429277,bb,1.75,13.665,7.938,0.003,2563.737,8.247
2457156.84521,2015-05-14.3445233,bb,1.68,13.674,7.955,0.004,2522.790,9.030
2457160.89963,2015-05-18.3990755,bb,1.73,13.691,7.941,0.004,2554.345,9.065
2457160.90122,2015-05-18.4006722,bb,1.59,13.710,7.983,0.003,2459.707,7.486
2457164.85590,2015-05-22.3554864,bb,1.66,13.698,7.967,0.004,2496.162,9.042
2457164.85750,2015-05-22.3570873,bb,1.68,13.691,7.956,0.004,2519.429,8.346
2457167.88246,2015-05-25.3821674,bb,1.69,13.716,7.984,0.004,2455.162,9.568
2457167.88406,2015-05-25.3837625,bb,2.24,13.597,7.832,0.004,2824.463,9.671
2457171.93925,2015-05-29.4390759,bb,1.66,13.726,8.019,0.003,2378.661,7.430
2457171.94078,2015-05-29.4406045,bb,1.64,13.694,7.955,0.003,2522.958,8.145
2457177.95911,2015-06-04.4591562,bb,1.73,13.709,8.015,0.004,2388.202,8.962
2457177.96068,2015-06-04.4607237,bb,1.62,13.702,8.003,0.004,2413.078,9.641
2457178.85956,2015-06-05.3596363,bb,1.80,13.713,8.014,0.004,2390.181,8.464
2457178.86120,2015-06-05.3612783,bb,1.66,13.704,8.003,0.004,2414.138,8.068
2457183.84261,2015-06-10.3428561,bb,1.68,13.700,7.978,0.003,2470.617,6.877
2457183.84420,2015-06-10.3444376,bb,1.72,13.731,8.035,0.004,2343.163,8.030
2457188.90664,2015-06-15.4070599,bb,1.67,13.617,7.923,0.003,2599.564,7.536
2457188.90823,2015-06-15.4086516,bb,1.69,13.585,7.951,0.003,2531.465,7.859
2457190.81959,2015-06-17.3200766,bb,2.25,12.765,7.603,0.005,3491.213,17.061
2457190.82111,2015-06-17.3215899,bb,2.20,12.662,7.602,0.006,3491.273,20.158
2457193.92049,2015-06-20.4210636,bb,1.74,13.678,7.950,0.003,2535.017,7.552
2457193.92205,2015-06-20.4226143,bb,1.81,13.683,7.958,0.003,2516.514,7.439
2457196.77652,2015-06-23.2771836,bb,1.80,13.679,7.918,0.004,2610.220,8.463
2457196.77803,2015-06-23.2786975,bb,1.84,13.697,7.955,0.004,2523.056,8.588
2457199.86693,2015-06-26.3677061,bb,1.63,13.693,7.961,0.004,2509.873,8.789
2457199.86845,2015-06-26.3692216,bb,1.63,13.682,7.941,0.004,2557.251,9.103
2457204.87764,2015-07-01.3785488,bb,1.70,13.702,8.011,0.005,2396.527,10.340
2457204.87916,2015-07-01.3800688,bb,1.68,13.701,8.012,0.004,2393.665,9.188
2457206.88615,2015-07-03.3871186,bb,1.69,13.688,8.058,0.004,2295.483,9.164
2457206.88770,2015-07-03.3886762,bb,1.63,13.641,7.976,0.004,2475.583,9.166
2457210.79701,2015-07-07.2980951,bb,1.75,13.706,7.995,0.004,2432.408,8.164
2457210.79859,2015-07-07.2996726,bb,1.71,13.682,7.952,0.004,2529.387,8.290
2457212.78102,2015-07-09.2821615,bb,1.98,13.683,7.938,0.004,2562.042,10.163
2457212.78259,2015-07-09.2837298,bb,1.81,13.691,7.956,0.004,2520.232,8.458
2457217.82348,2015-07-14.3247618,bb,1.80,13.662,7.937,0.004,2565.382,9.345
2457217.82499,2015-07-14.3262693,bb,1.79,13.668,7.959,0.004,2513.743,9.163
2457222.79586,2015-07-19.2972696,bb,1.73,13.706,8.001,0.003,2419.023,7.559
2457222.79734,2015-07-19.2987466,bb,1.70,13.688,7.966,0.004,2499.395,8.296
2457227.78651,2015-07-24.2880390,bb,1.98,13.652,7.926,0.004,2590.798,9.247
2457227.78794,2015-07-24.2894710,bb,2.00,13.663,7.944,0.004,2547.825,9.149
2457232.81093,2015-07-29.3125696,bb,1.90,13.269,7.983,0.014,2458.590,32.606
2457232.81235,2015-07-29.3139842,bb,1.87,12.971,7.877,0.002,2709.867,5.519
2457233.80501,2015-07-30.3066673,bb,2.02,13.684,7.943,0.005,2549.054,11.157
2457233.80646,2015-07-30.3081190,bb,2.05,13.719,8.011,0.005,2395.654,11.162
2457235.76021,2015-08-01.2618989,bb,2.00,13.720,7.979,0.005,2466.521,11.009
2457235.76165,2015-08-01.2633429,bb,1.98,13.705,7.941,0.005,2553.785,11.324
2457240.78617,2015-08-06.2879579,bb,1.85,13.695,7.937,0.003,2564.405,7.835
2457240.78756,2015-08-06.2893418,bb,1.79,13.677,7.895,0.004,2664.264,10.254
2457243.77411,2015-08-09.2759461,bb,1.98,13.691,7.955,0.003,2523.870,7.119
2457243.77551,2015-08-09.2773479,bb,2.02,13.672,7.915,0.004,2616.673,8.533
2457245.76698,2015-08-11.2688361,bb,2.06,13.655,7.886,0.004,2687.717,10.110
2457245.76838,2015-08-11.2702423,bb,2.00,13.675,7.920,0.004,2605.228,9.157
2457247.76330,2015-08-13.2651872,bb,2.12,13.507,7.951,0.004,2532.325,10.083
2457247.76473,2015-08-13.2666171,bb,2.13,13.470,7.945,0.005,2546.455,12.627
2457250.75286,2015-08-16.2547790,bb,2.15,13.533,7.922,0.005,2600.331,11.570
2457250.75429,2015-08-16.2562149,bb,2.20,13.596,7.935,0.005,2570.426,11.012
2457255.74082,2015-08-21.2427881,bb,1.72,13.691,7.954,0.004,2523.760,10.015
2457255.74222,2015-08-21.2441909,bb,1.83,13.704,7.970,0.004,2488.420,8.946
2457255.74366,2015-08-21.2456339,bb,1.85,13.715,7.998,0.004,2424.710,9.040
2457370.16779,2015-12-13.6675024,bb,1.71,13.695,8.037,0.004,2341.094,9.175
2457370.16904,2015-12-13.6687530,bb,1.85,13.706,8.057,0.005,2297.139,10.707
2457370.17030,2015-12-13.6700098,bb,1.92,13.716,8.095,0.005,2217.489,10.302
2457373.15736,2015-12-16.6569674,bb,2.02,13.646,7.936,0.003,2567.158,8.064
2457373.15869,2015-12-16.6583030,bb,2.14,13.590,7.867,0.004,2736.758,9.050
2457373.15996,2015-12-16.6595672,bb,2.06,13.647,7.945,0.004,2547.168,9.662
2457388.13158,2015-12-31.6306957,bb,1.61,13.678,7.977,0.004,2473.390,9.697
2457388.13284,2015-12-31.6319482,bb,1.62,13.672,7.973,0.004,2482.619,8.637
2457388.13409,2015-12-31.6332031,bb,1.65,13.698,8.013,0.004,2391.195,9.332
2457393.14719,2016-01-05.6461442,bb,2.07,13.665,7.945,0.004,2547.110,10.596
2457393.14844,2016-01-05.6473981,bb,2.09,13.663,7.950,0.005,2534.792,10.972
2457393.14969,2016-01-05.6486497,bb,2.09,13.661,7.947,0.004,2543.332,10.023
2457397.11678,2016-01-09.6156175,bb,1.71,13.696,7.977,0.004,2472.329,8.253
2457397.11802,2016-01-09.6168564,bb,1.74,13.695,7.976,0.004,2475.027,8.473
2457397.11927,2016-01-09.6181090,bb,1.71,13.705,7.991,0.004,2439.619,9.809
2457399.11774,2016-01-11.6165255,bb,1.67,13.678,7.948,0.004,2537.905,8.556
2457399.11900,2016-01-11.6177837,bb,1.72,13.676,7.941,0.004,2557.309,9.578
2457399.12025,2016-01-11.6190340,bb,1.73,13.682,7.953,0.004,2526.152,8.965
2457402.09623,2016-01-14.5949373,bb,1.84,13.671,7.936,0.004,2569.477,8.659
2457402.09748,2016-01-14.5961909,bb,1.96,13.683,7.953,0.004,2526.477,8.486
2457402.09873,2016-01-14.5974321,bb,1.76,13.679,7.949,0.004,2536.648,9.314
2457405.08624,2016-01-17.5848620,bb,1.68,13.679,7.951,0.003,2531.344,8.119
2457405.08750,2016-01-17.5861203,bb,1.65,13.708,8.010,0.003,2399.424,7.714
2457405.08874,2016-01-17.5873615,bb,1.68,13.703,7.994,0.004,2435.135,8.915
2457409.08053,2016-01-21.5790582,bb,1.71,13.724,8.049,0.004,2313.827,8.425
2457409.08179,2016-01-21.5803118,bb,1.69,13.708,8.016,0.004,2385.203,9.398
2457409.08304,2016-01-21.5815642,bb,1.66,13.722,8.036,0.004,2342.966,9.309
2457411.06992,2016-01-23.5684009,bb,1.70,13.707,8.047,0.005,2317.815,10.153
2457411.07117,2016-01-23.5696557,bb,1.72,13.742,8.117,0.004,2174.224,8.546
2457411.07243,2016-01-23.5709093,bb,1.77,13.727,8.066,0.005,2278.606,10.590
2457413.07082,2016-01-25.5692586,bb,1.70,13.679,7.964,0.004,2500.904,9.596
2457413.07206,2016-01-25.5704997,bb,1.75,13.721,8.038,0.004,2337.062,9.679
2457413.07332,2016-01-25.5717509,bb,1.70,13.706,8.010,0.005,2397.837,10.698
2457415.07927,2016-01-27.5776681,bb,1.66,13.699,7.986,0.004,2452.696,10.021
2457415.08054,2016-01-27.5789307,bb,1.68,13.715,8.020,0.004,2374.904,9.015
2457415.08178,2016-01-27.5801751,bb,1.72,13.705,7.999,0.004,2420.903,9.942
2457417.15586,2016-01-29.6542082,bb,1.84,13.722,8.018,0.004,2382.021,9.507
2457417.15712,2016-01-29.6554725,bb,1.69,13.691,7.947,0.004,2540.295,8.490
2457417.15837,2016-01-29.6567229,bb,1.73,13.714,7.997,0.004,2425.893,9.934
2457420.07744,2016-02-01.5757393,bb,1.79,13.721,8.006,0.004,2408.837,9.210
2457420.07870,2016-02-01.5769932,bb,1.78,13.710,7.986,0.004,2452.810,8.108
2457420.07994,2016-02-01.5782378,bb,1.70,13.717,8.001,0.004,2419.031,9.008
2457423.10887,2016-02-04.6071062,bb,1.65,13.685,7.922,0.003,2601.839,8.344
2457423.11013,2016-02-04.6083687,bb,1.79,13.709,7.982,0.003,2460.830,6.882
2457423.11138,2016-02-04.6096266,bb,1.73,13.714,7.989,0.004,2445.893,8.268
2457425.04530,2016-02-06.5435144,bb,1.68,13.732,8.037,0.004,2339.841,7.880
2457425.04656,2016-02-06.5447674,bb,1.69,13.733,8.029,0.004,2355.514,8.682
2457425.04781,2016-02-06.5460217,bb,1.76,13.715,7.999,0.004,2421.960,8.266
2457429.02381,2016-02-10.5219607,bb,1.66,13.677,7.935,0.004,2570.014,8.668
2457429.02507,2016-02-10.5232258,bb,1.68,13.706,7.989,0.003,2445.123,7.609
2457429.02632,2016-02-10.5244700,bb,1.63,13.700,7.976,0.003,2473.581,7.708
2457437.00383,2016-02-18.5018991,bb,1.63,13.719,8.030,0.004,2356.036,9.654
2457437.00509,2016-02-18.5031547,bb,1.63,13.710,8.010,0.005,2396.686,10.833
2457437.00634,2016-02-18.5044017,bb,1.60,13.707,8.008,0.004,2403.336,9.515
2457439.99322,2016-02-21.4912612,bb,1.64,13.716,8.053,0.005,2306.288,10.226
2457439.99447,2016-02-21.4925120,bb,1.82,13.695,7.997,0.004,2427.891,9.734
2457439.99572,2016-02-21.4937658,bb,1.73,13.698,8.016,0.005,2384.797,10.474
2457441.99772,2016-02-23.4957409,bb,1.67,13.697,8.038,0.005,2338.369,10.999
2457441.99898,2016-02-23.4970087,bb,1.65,13.668,7.986,0.005,2453.032,10.605
2457442.00026,2016-02-23.4982847,bb,1.68,13.668,7.992,0.005,2437.827,11.707
2457443.05871,2016-02-24.5567324,bb,1.67,13.728,8.015,0.004,2386.387,9.833
2457443.05997,2016-02-24.5579988,bb,1.77,13.735,8.030,0.004,2355.113,9.669
2457443.06122,2016-02-24.5592469,bb,1.73,13.719,8.002,0.005,2416.330,10.320
2457445.11196,2016-02-26.6099777,bb,1.80,13.741,8.029,0.004,2357.801,7.873
2457445.11322,2016-02-26.6112311,bb,1.80,13.734,8.003,0.003,2413.746,7.550
2457445.11447,2016-02-26.6124839,bb,1.77,13.754,8.040,0.004,2333.334,8.647
2457447.06360,2016-02-28.5616128,bb,1.66,13.730,8.005,0.003,2409.221,7.391
2457447.06485,2016-02-28.5628636,bb,1.61,13.730,8.002,0.004,2415.898,8.856
2457449.04487,2016-03-01.5428687,bb,1.69,13.720,7.971,0.004,2484.323,8.341
2457449.04613,2016-03-01.5441306,bb,1.68,13.699,7.929,0.003,2583.796,8.335
2457449.04738,2016-03-01.5453875,bb,1.63,13.754,8.032,0.004,2349.067,8.488
2457451.06062,2016-03-03.5586187,bb,1.70,13.738,8.007,0.003,2403.343,7.567
2457451.06188,2016-03-03.5598824,bb,1.79,13.737,8.006,0.003,2408.563,6.914
2457451.06312,2016-03-03.5611207,bb,1.67,13.701,7.937,0.004,2565.457,8.922
2457452.95497,2016-03-05.4529766,bb,1.66,13.723,8.007,0.004,2403.878,8.842
2457452.95623,2016-03-05.4542285,bb,1.69,13.717,7.996,0.004,2430.645,8.493
2457452.95750,2016-03-05.4555050,bb,1.70,13.720,8.003,0.004,2415.077,8.918
2457455.94799,2016-03-08.4460018,bb,1.78,13.388,7.917,0.004,2614.497,10.085
2457455.94925,2016-03-08.4472535,bb,1.75,13.303,7.885,0.005,2691.743,12.741
2457455.95051,2016-03-08.4485182,bb,1.67,13.231,7.908,0.005,2634.045,10.645
2457457.94463,2016-03-10.4426468,bb,1.76,13.675,7.930,0.004,2580.068,8.378
2457457.94590,2016-03-10.4439133,bb,1.76,13.699,7.982,0.003,2460.395,7.352
2457457.94715,2016-03-10.4451688,bb,1.75,13.675,7.930,0.003,2582.880,8.201
2457460.93421,2016-03-13.4322384,bb,1.73,13.705,7.987,0.003,2449.383,7.907
2457460.93546,2016-03-13.4334872,bb,1.76,13.699,7.975,0.003,2475.189,7.519
2457460.93671,2016-03-13.4347395,bb,1.73,13.698,7.972,0.004,2481.765,8.641
2457464.92625,2016-03-17.4243100,bb,1.73,13.699,8.022,0.004,2371.281,8.449
2457464.92750,2016-03-17.4255563,bb,1.71,13.688,8.004,0.004,2410.021,8.676
2457464.92874,2016-03-17.4267989,bb,1.71,13.670,7.960,0.004,2510.375,8.773
2457466.06790,2016-03-18.5659677,bb,2.14,13.697,7.945,0.003,2546.298,7.441
2457466.91602,2016-03-19.4140881,bb,1.81,13.448,7.948,0.004,2538.500,10.058
2457466.91693,2016-03-19.4150054,bb,1.92,13.424,7.899,0.004,2655.143,9.936
2457466.91784,2016-03-19.4159112,bb,1.85,13.442,7.933,0.005,2576.719,11.795
2457471.98575,2016-03-24.4838740,bb,2.00,13.687,7.975,0.004,2476.487,10.200
2457471.98699,2016-03-24.4851187,bb,2.13,13.706,8.011,0.004,2396.209,8.956
2457476.97161,2016-03-29.4698084,bb,2.00,13.686,7.955,0.004,2522.350,9.330
2457476.97287,2016-03-29.4710641,bb,1.77,13.674,7.929,0.004,2585.408,9.089
2457476.97412,2016-03-29.4723196,bb,1.79,13.701,7.983,0.004,2457.442,8.253
2457479.00977,2016-03-31.5080008,bb,1.69,13.718,7.974,0.003,2479.971,7.691
2457479.01103,2016-03-31.5092563,bb,1.77,13.711,7.957,0.003,2518.667,7.791
2457479.01228,2016-03-31.5105075,bb,1.79,13.728,7.989,0.004,2444.804,8.043
2457479.94588,2016-04-01.4441252,bb,1.77,13.690,7.954,0.003,2524.281,8.070
2457479.94713,2016-04-01.4453756,bb,1.70,13.685,7.958,0.004,2516.734,8.859
2457481.94605,2016-04-03.4443259,bb,1.69,13.708,7.979,0.004,2469.076,8.395
2457481.94728,2016-04-03.4455600,bb,1.62,13.706,7.972,0.004,2482.635,8.626
2457483.87306,2016-04-05.3713671,bb,1.66,13.724,8.044,0.004,2324.736,7.917
2457483.87431,2016-04-05.3726197,bb,1.67,13.674,7.943,0.004,2549.892,9.236
2457483.87555,2016-04-05.3738653,bb,1.75,13.690,7.973,0.004,2482.653,10.315
2457488.01936,2016-04-09.5177509,bb,2.00,13.703,7.963,0.003,2505.647,6.938
2457488.02065,2016-04-09.5190399,bb,1.96,13.702,7.963,0.003,2504.030,6.855
2457488.02190,2016-04-09.5202939,bb,2.07,13.685,7.934,0.003,2572.634,6.660
2457490.85971,2016-04-12.3581652,bb,1.73,13.661,7.937,0.004,2565.315,9.706
2457490.86096,2016-04-12.3594178,bb,1.72,13.696,8.003,0.004,2414.717,8.816
2457490.86225,2016-04-12.3606983,bb,1.72,13.675,7.960,0.004,2512.442,8.329
2457491.96729,2016-04-13.4657662,bb,1.76,13.678,7.953,0.003,2528.880,7.615
2457491.96855,2016-04-13.4670212,bb,1.77,13.659,7.975,0.004,2478.728,8.136
2457491.96980,2016-04-13.4682739,bb,1.94,13.701,7.992,0.004,2438.972,9.077
2457494.83776,2016-04-16.3363041,bb,1.75,13.680,7.989,0.003,2445.436,7.841
2457494.83903,2016-04-16.3375658,bb,1.74,13.679,7.985,0.004,2453.437,9.165
2457494.84027,2016-04-16.3388091,bb,1.74,13.684,7.995,0.004,2432.725,8.609
2457496.08572,2016-04-17.5842912,bb,2.00,13.666,7.932,0.003,2575.481,6.708
2457496.08697,2016-04-17.5855444,bb,1.99,13.665,7.926,0.003,2592.535,7.504
2457496.08823,2016-04-17.5867979,bb,1.99,13.654,7.914,0.003,2621.355,7.032
2457500.01497,2016-04-21.5136354,bb,1.71,13.744,8.070,0.004,2268.900,7.983
2457500.01622,2016-04-21.5148924,bb,1.78,13.723,8.024,0.004,2367.093,9.479
2457500.01748,2016-04-21.5161533,bb,1.81,13.749,8.076,0.004,2256.674,9.265
2457503.00036,2016-04-24.4991053,bb,1.68,13.719,8.000,0.005,2420.165,10.743
2457503.00161,2016-04-24.5003591,bb,1.71,13.687,7.954,0.004,2526.912,9.377
2457503.00287,2016-04-24.5016195,bb,2.00,13.689,7.981,0.004,2461.591,8.922
2457504.89221,2016-04-26.3910075,bb,1.66,13.731,8.052,0.004,2308.040,8.186
2457504.89357,2016-04-26.3923657,bb,1.75,13.704,8.012,0.004,2393.709,9.901
2457504.89484,2016-04-26.3936440,bb,1.72,13.715,8.033,0.004,2348.943,7.777
2457506.94494,2016-04-28.4437965,bb,1.73,13.694,7.949,0.004,2536.869,9.542
2457506.94619,2016-04-28.4450481,bb,1.76,13.705,7.981,0.004,2463.332,8.940
2457506.94744,2016-04-28.4463008,bb,1.67,13.702,7.968,0.004,2492.926,9.281
2457507.89239,2016-04-29.3912693,bb,2.00,13.691,7.978,0.004,2469.378,9.059
2457507.89365,2016-04-29.3925284,bb,1.75,13.686,7.960,0.004,2509.788,8.484
2457510.92708,2016-05-02.4260552,bb,1.74,13.718,8.003,0.003,2413.656,7.121
2457510.92834,2016-05-02.4273090,bb,1.74,13.688,7.946,0.004,2543.540,8.261
2457510.92959,2016-05-02.4285628,bb,1.76,13.705,7.988,0.003,2446.107,7.420
2457513.83960,2016-05-05.3386584,bb,1.85,12.667,7.600,0.004,3497.749,12.313
2457513.84089,2016-05-05.3399471,bb,1.62,12.668,7.558,0.012,3635.338,39.724
2457513.84215,2016-05-05.3412098,bb,1.78,12.863,7.676,0.008,3262.665,25.202
2457514.83100,2016-05-06.3300880,bb,1.60,13.681,7.952,0.004,2531.030,10.144
2457514.83227,2016-05-06.3313549,bb,1.62,13.686,7.958,0.004,2515.573,8.727
2457514.83352,2016-05-06.3326062,bb,1.64,13.691,7.969,0.004,2488.900,8.790
2457523.88556,2016-05-15.3849358,bb,1.71,13.714,8.002,0.003,2416.806,7.563
2457523.88682,2016-05-15.3861932,bb,1.66,13.719,8.011,0.004,2397.582,8.042
2457523.88808,2016-05-15.3874487,bb,1.62,13.723,8.023,0.003,2371.077,7.558
2457527.96271,2016-05-19.4622203,bb,1.77,13.695,7.973,0.004,2479.695,8.571
2457527.96398,2016-05-19.4634876,bb,1.66,13.700,7.992,0.004,2438.634,9.240
2457527.96523,2016-05-19.4647424,bb,1.72,13.693,7.974,0.004,2478.950,8.326
2457530.85286,2016-05-22.3524634,bb,1.75,13.707,7.994,0.004,2435.420,10.098
2457530.85418,2016-05-22.3537774,bb,1.80,13.712,7.999,0.005,2421.525,10.337
2457530.85545,2016-05-22.3550510,bb,1.77,13.705,7.999,0.004,2422.427,9.534
2457532.78819,2016-05-24.2878607,bb,1.71,13.661,7.925,0.005,2593.945,10.821
2457532.78945,2016-05-24.2891222,bb,1.68,13.671,7.943,0.004,2549.101,9.544
2457532.79071,2016-05-24.2903791,bb,1.79,13.679,7.960,0.004,2512.477,10.025
